Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D906,"PMEG4030ER,115",SOD123W,36.4405,-84.31,180,top
D1001,"PMEG4030ER,115",SOD123W,60.4325,-89.8,0,top
D1002,"PMEG4030ER,115",SOD123W,60.14,-92.53,0,top
D1003,"PMEG4030ER,115",SOD123W,60.557,-106.135,0,top
D1004,"PMEG4030ER,115",SOD123W,60.5545,-108.405,0,top
D1005,"PMEG4030ER,115",SOD123W,60.3745,-120.595,0,top
D1006,"PMEG4030ER,115",SOD123W,60.2645,-123.145,0,top
J601,C,MotorPad,31.77,-71.35,180,top
J602,B,MotorPad,33.54,-52.48,0,top
J603,A,MotorPad,35.64,-34.14,0,top
J701,C,MotorPad,60.24,-25.95,0,top
J702,B,MotorPad,62.32,-44.65,0,top
J703,A,MotorPad,64.28,-63.45,0,top
J801,C,MotorPad,25.802,-121.79,0,top
J802,B,MotorPad,24.98,-106.27,0,top
J803,A,MotorPad,23.49,-91.77,0,top
J901,C,MotorPad,70.5845,-84.475,0,top
J902,B,MotorPad,71.7645,-100.985,0,top
J903,A,MotorPad,72.3745,-115.415,0,top
L401,2.2u,IHLP2525EZER2R2M01,49.06,-140.45,90,top
Q401,DMN3020UFDF-7,DMN3020UFDF-7,53.8125,-143.667501,90,top
Q402,DMN3020UFDF-7,DMN3020UFDF-7,53.81,-141.5075,90,top
Q403,DMN3020UFDF-7,DMN3020UFDF-7,53.82,-138.26,-90,top
Q404,DMN3020UFDF-7,DMN3020UFDF-7,53.815,-136.0875,-90,top
Q405,DMP3013SFV,DMP3013SFV7,53.795,-134.5825,0,top
Q701,NTMFS5C426NT1G,NTMFS5C426NT1G,37.848,-64.755,90,top
Q702,NTMFS5C426NT1G,NTMFS5C426NT1G,40.31,-70.87,90,top
Q703,NTMFS5C426NT1G,NTMFS5C426NT1G,38.66,-45.9,90,top
Q704,NTMFS5C426NT1G,NTMFS5C426NT1G,41.122,-52.015,90,top
Q705,NTMFS5C426NT1G,NTMFS5C426NT1G,39.276,-27.51,90,top
Q706,NTMFS5C426NT1G,NTMFS5C426NT1G,41.738,-33.625,90,top
Q801,NTMFS5C426NT1G,NTMFS5C426NT1G,57.47,-32.62,-90,top
Q802,NTMFS5C426NT1G,NTMFS5C426NT1G,55.008,-26.505,-90,top
